advertiser_id,product_id,ctr
2WPF1NXECF3G6NUMWDO7,k2umzv,0.3333333333333333
2WPF1NXECF3G6NUMWDO7,ma6irv,0.25
2WPF1NXECF3G6NUMWDO7,1kq04j,0.125
2WPF1NXECF3G6NUMWDO7,01mgr3,0.0
2WPF1NXECF3G6NUMWDO7,0299ko,0.0
2WPF1NXECF3G6NUMWDO7,18v6fo,0.0
2WPF1NXECF3G6NUMWDO7,1ch7g8,0.0
2WPF1NXECF3G6NUMWDO7,1gegxk,0.0
2WPF1NXECF3G6NUMWDO7,1gjnn4,0.0
2WPF1NXECF3G6NUMWDO7,1za6l5,0.0
2WPF1NXECF3G6NUMWDO7,2bnen4,0.0
2WPF1NXECF3G6NUMWDO7,2dklx7,0.0
2WPF1NXECF3G6NUMWDO7,3lh107,0.0
2WPF1NXECF3G6NUMWDO7,3oe469,0.0
2WPF1NXECF3G6NUMWDO7,4g0a2g,0.0
2WPF1NXECF3G6NUMWDO7,4l9sze,0.0
2WPF1NXECF3G6NUMWDO7,4miw6l,0.0
2WPF1NXECF3G6NUMWDO7,4t6u8i,0.0
2WPF1NXECF3G6NUMWDO7,4z07rg,0.0
2WPF1NXECF3G6NUMWDO7,59j88y,0.0
5E325T5HYL61QSABVR5V,fm01zu,0.25
5E325T5HYL61QSABVR5V,3dg8co,0.14285714285714285
5E325T5HYL61QSABVR5V,0rangk,0.0
5E325T5HYL61QSABVR5V,1dt44d,0.0
5E325T5HYL61QSABVR5V,1ej5a8,0.0
5E325T5HYL61QSABVR5V,1fujc6,0.0
5E325T5HYL61QSABVR5V,2zz3ft,0.0
5E325T5HYL61QSABVR5V,3o4i7z,0.0
5E325T5HYL61QSABVR5V,3qfrb4,0.0
5E325T5HYL61QSABVR5V,3vt5di,0.0
5E325T5HYL61QSABVR5V,4bxb6f,0.0
5E325T5HYL61QSABVR5V,4tw8tf,0.0
5E325T5HYL61QSABVR5V,4ykxyt,0.0
5E325T5HYL61QSABVR5V,5zw3zm,0.0
5E325T5HYL61QSABVR5V,61f3tt,0.0
5E325T5HYL61QSABVR5V,75i10f,0.0
5E325T5HYL61QSABVR5V,7ej5gu,0.0
5E325T5HYL61QSABVR5V,7l5x6q,0.0
5E325T5HYL61QSABVR5V,7my5g6,0.0
5E325T5HYL61QSABVR5V,8s5t1b,0.0
62FIK8F2YT8JSFDBLEC9,3opd47,0.2
62FIK8F2YT8JSFDBLEC9,xn7n1l,0.2
62FIK8F2YT8JSFDBLEC9,elj66g,0.16666666666666666
62FIK8F2YT8JSFDBLEC9,opxejb,0.16666666666666666
62FIK8F2YT8JSFDBLEC9,cmjf2z,0.14285714285714285
62FIK8F2YT8JSFDBLEC9,emeazh,0.14285714285714285
62FIK8F2YT8JSFDBLEC9,yusr3p,0.125
62FIK8F2YT8JSFDBLEC9,1jvqaq,0.0
62FIK8F2YT8JSFDBLEC9,29t9d4,0.0
62FIK8F2YT8JSFDBLEC9,3o65lf,0.0
62FIK8F2YT8JSFDBLEC9,3w8khx,0.0
62FIK8F2YT8JSFDBLEC9,4130ef,0.0
62FIK8F2YT8JSFDBLEC9,4vijga,0.0
62FIK8F2YT8JSFDBLEC9,5365mm,0.0
62FIK8F2YT8JSFDBLEC9,5uqsrl,0.0
62FIK8F2YT8JSFDBLEC9,6tpe69,0.0
62FIK8F2YT8JSFDBLEC9,7fz717,0.0
